cv_id,gt_overall,skill,experience,education,semantic,full_rank,no_semantic_rank,rank_change
cv_010,1,0.1133994419109003,0.463141227473714,1.0,0.3317567739105191,7,12,5
cv_014,0,0.0512946735315883,0.4127386013107043,0.6,0.3838966288364497,13,16,3
cv_013,1,0.1646941115087479,0.5357406175719855,0.6,0.3991316884878058,6,3,-3
cv_003,1,0.1133994419109003,0.5284384631545742,0.0,0.5617067148302183,10,7,-3
cv_007,0,0.0,0.4544295978315312,0.6,0.2638583185556301,17,15,-2
cv_012,0,0.0,0.4694874625716491,0.6,0.3571969026147011,15,14,-1
cv_004,1,0.1133994383392492,0.4993713242657666,0.6,0.422575399908919,8,9,1
cv_005,0,0.1133994392852897,0.5076662068171027,0.6,0.3915382487084822,9,8,-1
cv_001,0,0.0,0.4974781511648298,0.6,0.3652485392162237,14,13,-1
cv_018,2,0.1646941115087479,0.5046549289265293,0.6,0.6100623617366132,4,5,1
cv_020,3,0.1646941115087479,0.5242119335709,0.6,0.5973777564225745,3,4,1
cv_025,0,0.0,0.4322860537715803,0.6,0.2890652201293912,16,17,1
cv_023,0,0.1646941135519789,0.4582324652689623,0.6,0.335859232660936,11,10,-1
cv_032,2,0.1646941115087479,0.4953465655598977,1.0,0.4711499540539402,5,6,1
cv_002,0,0.0512946733818452,0.5056515641045424,0.6,0.4349119094798333,12,11,-1
cv_029,2,0.2129831495649501,0.627681437417859,1.0,0.6301566060615205,1,1,0
cv_024,3,0.2124330489485423,0.5336712683275664,1.0,0.6145311743519849,2,2,0
cv_006,0,0.0,0.4191769020685719,0.6,0.2815376028531439,18,18,0
