cv_id,gt_overall,s_years,s_evidence_continuous,experience_score,experience_coverage,mean_best_similarity,max_best_similarity,min_best_similarity,median_best_similarity,experience_status
cv_012,0,1.0,0.24212494653092734,0.4694874625716491,1.0,0.2421249465309273,0.3354577316191092,0.13272551141661051,0.28659767390873786,evaluated
cv_004,1,1.0,0.2848161775225238,0.49937132426576664,1.0,0.2848161775225238,0.3423093681421371,0.2311100493768911,0.29551628311851136,evaluated
cv_018,2,1.0,0.29236418418075616,0.5046549289265293,1.0,0.29236418418075616,0.35898526243774337,0.2672524428269994,0.2738978886437228,evaluated
cv_029,2,1.0,0.46811633916837003,0.627681437417859,1.0,0.4681163391683701,0.5540703239135766,0.4098599654534664,0.44513855411580294,evaluated
cv_005,0,1.0,0.2966660097387182,0.5076662068171027,1.0,0.2966660097387182,0.37051579287592723,0.1646131574283856,0.3192105287052546,evaluated
cv_014,0,1.0,0.16105514472957766,0.41273860131070433,1.0,0.16105514472957766,0.20470874374951828,0.10935729504433968,0.1576331364272423,evaluated
cv_003,1,1.0,0.32634066164939174,0.5284384631545742,1.0,0.32634066164939174,0.5121755903632604,0.1820396502231872,0.2966773825558396,evaluated
cv_001,0,1.0,0.28211164452118553,0.49747815116482985,1.0,0.28211164452118553,0.3867523347840044,0.16730919271121003,0.27758337397216876,evaluated
cv_013,1,1.0,0.3367723108171222,0.5357406175719855,1.0,0.3367723108171222,0.44401863484401144,0.13878443924033676,0.3576231908355472,evaluated
cv_025,0,1.0,0.18898007681654339,0.43228605377158036,1.0,0.18898007681654339,0.26860099136756677,0.09670740909532115,0.1964242921128409,evaluated
cv_006,0,1.0,0.17025271724081711,0.41917690206857194,1.0,0.17025271724081711,0.1954991474968617,0.12982434768886766,0.17720809162737877,evaluated
cv_023,0,1.0,0.22604637895566043,0.4582324652689623,1.0,0.22604637895566043,0.3029354845165834,0.1634709162578688,0.23314657617663692,evaluated
cv_032,2,1.0,0.27906652222842543,0.49534656555989776,1.0,0.27906652222842543,0.31772017067944225,0.20896415465777185,0.29451055723811986,evaluated
cv_024,3,1.0,0.3338160976108092,0.5336712683275664,1.0,0.33381609761080916,0.4038990100454759,0.23982168120381853,0.34676846013397883,evaluated
cv_010,1,1.0,0.23305889639102,0.463141227473714,1.0,0.23305889639102,0.37248980077743604,0.13681985831622126,0.19282570957874803,evaluated
cv_020,3,1.0,0.3203027622441429,0.5242119335709,1.0,0.3203027622441429,0.424363367943031,0.2573344029326925,0.29565910816993685,evaluated
cv_007,0,1.0,0.22061371118790177,0.45442959783153125,1.0,0.22061371118790174,0.27855888391046624,0.16620932269312325,0.23029359620640696,evaluated
cv_002,0,1.0,0.2937879487207748,0.5056515641045424,1.0,0.2937879487207748,0.4002438842317869,0.22512244640434478,0.2701743261210945,evaluated
