cv_id,gt_overall,s_years,s_evidence_official,experience_score_official,coverage_official,evidence_status_official,max_raw_similarity,mean_best_similarity,responsibilities_above_threshold,s_evidence_reconstructed
cv_018,2,1.0,0.0,0.3,1.0,evaluated,0.35898526243774337,0.29236418418075616,0,0.0
cv_020,3,1.0,0.0,0.3,1.0,evaluated,0.424363367943031,0.3203027622441429,0,0.0
cv_002,0,1.0,0.0,0.3,1.0,evaluated,0.4002438842317869,0.2937879487207748,0,0.0
cv_025,0,1.0,0.0,0.3,1.0,evaluated,0.26860099136756677,0.18898007681654339,0,0.0
cv_005,0,1.0,0.0,0.3,1.0,evaluated,0.37051579287592723,0.2966660097387182,0,0.0
cv_012,0,1.0,0.0,0.3,1.0,evaluated,0.3354577316191092,0.2421249465309273,0,0.0
cv_013,1,1.0,0.0,0.3,1.0,evaluated,0.44401863484401144,0.3367723108171222,0,0.0
cv_001,0,1.0,0.0,0.3,1.0,evaluated,0.3867523347840044,0.28211164452118553,0,0.0
cv_023,0,1.0,0.0,0.3,1.0,evaluated,0.3029354845165834,0.22604637895566043,0,0.0
cv_006,0,1.0,0.0,0.3,1.0,evaluated,0.1954991474968617,0.17025271724081711,0,0.0
cv_003,1,1.0,0.0,0.3,1.0,evaluated,0.5121755903632604,0.32634066164939174,0,0.0
cv_032,2,1.0,0.0,0.3,1.0,evaluated,0.31772017067944225,0.27906652222842543,0,0.0
cv_007,0,1.0,0.0,0.3,1.0,evaluated,0.27855888391046624,0.22061371118790174,0,0.0
cv_010,1,1.0,0.0,0.3,1.0,evaluated,0.37248980077743604,0.23305889639102,0,0.0
cv_014,0,1.0,0.0,0.3,1.0,evaluated,0.20470874374951828,0.16105514472957766,0,0.0
cv_004,1,1.0,0.0,0.3,1.0,evaluated,0.3423093681421371,0.2848161775225238,0,0.0
cv_029,2,1.0,0.0,0.3,1.0,evaluated,0.5540703239135766,0.4681163391683701,0,0.0
cv_024,3,1.0,0.0,0.3,1.0,evaluated,0.4038990100454759,0.33381609761080916,0,0.0
