rank,cv_id,jd_id,S_skill,S_experience,S_education,S_semantic,pair_id,split,human_overall,relevant,score_0_1,score_0_3
1,cv_035,jd_001,0.1646941133544243,0.4853786085568605,1.0,0.4389277345047119,jd_001__cv_035,blind_v2,2,True,0.3946316874045554,1.1838950622136664
2,cv_011,jd_001,0.0,0.6370048744159202,0.6,0.5886416886391005,jd_001__cv_011,blind_v2,0,False,0.3639934814749141,1.0919804444247423
3,cv_015,jd_001,0.113399440079404,0.5533840368897949,0.6,0.4910747060154811,jd_001__cv_015,blind_v2,2,True,0.3633589952143649,1.0900769856430947
4,cv_027,jd_001,0.0,0.5001520689842514,0.6,0.420014987779904,jd_001__cv_027,blind_v2,0,False,0.2860349101308215,0.8581047303924645
5,cv_022,jd_001,0.051294671443524,0.4583585674465801,0.6,0.3691544484957355,jd_001__cv_022,blind_v2,0,False,0.2829359166154462,0.8488077498463388
6,cv_031,jd_001,0.051294671443524,0.4420186891209892,0.6,0.3368912654330154,jd_001__cv_031,blind_v2,1,False,0.269988986031512,0.8099669580945361
7,cv_019,jd_001,0.0,0.4817108510816078,0.6,0.3618058000853337,jd_001__cv_019,blind_v2,1,False,0.2648839102419217,0.7946517307257651
8,cv_026,jd_001,0.0,0.4353743996671937,0.6,0.3248790501985686,jd_001__cv_026,blind_v2,0,False,0.2445385949930093,0.733615784979028
9,cv_008,jd_001,0.0,0.4502536040611756,0.6,0.2448837135634168,jd_001__cv_008,blind_v2,0,False,0.2235158348812601,0.6705475046437805
10,cv_030,jd_001,0.0,0.4194669287016811,0.6,0.2538787577975196,jd_001__cv_030,blind_v2,0,False,0.2200570130795921,0.6601710392387764
11,cv_016,jd_001,0.0,0.3807473504506618,0.0,0.2646233643367122,jd_001__cv_016,blind_v2,0,False,0.155536479391146,0.4666094381734381
