rank,cv_id,jd_id,S_skill,S_experience,S_education,S_semantic,pair_id,split,human_overall,relevant,score_0_1,score_0_3
1,cv_029,jd_001,0.2129831495649501,0.627681437417859,1.0,0.6301566060615205,jd_001__cv_029,development,2,True,0.499776529128008,1.499329587384024
2,cv_024,jd_001,0.2124330489485423,0.5336712683275664,1.0,0.6145311743519849,jd_001__cv_024,development,3,True,0.4760668255505256,1.428200476651577
3,cv_020,jd_001,0.1646941115087479,0.5242119335709,0.6,0.5973777564225745,jd_001__cv_020,development,3,True,0.4099333582444515,1.2298000747333546
4,cv_018,jd_001,0.1646941115087479,0.5046549289265293,0.6,0.6100623617366132,jd_001__cv_018,development,2,True,0.409827338909789,1.229482016729367
5,cv_034,jd_001,0.164694116960789,0.555591440486778,0.6,0.5718058610772124,jd_001__cv_034,blind_v1,2,True,0.4085376932048349,1.2256130796145048
6,cv_032,jd_001,0.1646941115087479,0.4953465655598977,1.0,0.4711499540539402,jd_001__cv_032,development,2,True,0.4062919439316608,1.2188758317949824
7,cv_035,jd_001,0.1646941133544243,0.4853786085568605,1.0,0.4389277345047119,jd_001__cv_035,blind_v2,2,True,0.3946316874045554,1.1838950622136664
8,cv_011,jd_001,0.0,0.6370048744159202,0.6,0.5886416886391005,jd_001__cv_011,blind_v2,0,False,0.3639934814749141,1.0919804444247423
9,cv_015,jd_001,0.113399440079404,0.5533840368897949,0.6,0.4910747060154811,jd_001__cv_015,blind_v2,2,True,0.3633589952143649,1.0900769856430947
10,cv_013,jd_001,0.1646941115087479,0.5357406175719855,0.6,0.3991316884878058,jd_001__cv_013,development,1,False,0.352765274664238,1.058295823992714
11,cv_010,jd_001,0.1133994419109003,0.463141227473714,1.0,0.3317567739105191,jd_001__cv_010,development,1,False,0.3375150544322587,1.012545163296776
12,cv_004,jd_001,0.1133994383392492,0.4993713242657666,0.6,0.422575399908919,jd_001__cv_004,development,1,False,0.3320066601615287,0.9960199804845862
13,cv_005,jd_001,0.1133994392852897,0.5076662068171027,0.6,0.3915382487084822,jd_001__cv_005,development,0,False,0.3243544916900811,0.9730634750702434
14,cv_003,jd_001,0.1133994419109003,0.5284384631545742,0.0,0.5617067148302183,jd_001__cv_003,development,1,False,0.3195594838443404,0.9586784515330212
15,cv_023,jd_001,0.1646941135519789,0.4582324652689623,0.6,0.335859232660936,jd_001__cv_023,development,0,False,0.3182819082728648,0.9548457248185944
16,cv_002,jd_001,0.0512946733818452,0.5056515641045424,0.6,0.4349119094798333,jd_001__cv_002,development,0,False,0.3121217550175965,0.9363652650527896
17,cv_017,jd_001,0.1133994400203906,0.4616883808692985,0.6,0.3186491979209989,jd_001__cv_017,blind_v1,1,False,0.2932922115583156,0.8798766346749469
18,cv_028,jd_001,0.0,0.4887918448780649,0.6,0.4375104287607645,jd_001__cv_028,blind_v1,0,False,0.2890114976038423,0.8670344928115271
19,cv_027,jd_001,0.0,0.5001520689842514,0.6,0.420014987779904,jd_001__cv_027,blind_v2,0,False,0.2860349101308215,0.8581047303924645
20,cv_022,jd_001,0.051294671443524,0.4583585674465801,0.6,0.3691544484957355,jd_001__cv_022,blind_v2,0,False,0.2829359166154462,0.8488077498463388
21,cv_014,jd_001,0.0512946735315883,0.4127386013107043,0.6,0.3838966288364497,jd_001__cv_014,development,0,False,0.2782345783257111,0.8347037349771332
22,cv_031,jd_001,0.051294671443524,0.4420186891209892,0.6,0.3368912654330154,jd_001__cv_031,blind_v2,1,False,0.269988986031512,0.8099669580945361
23,cv_001,jd_001,0.0,0.4974781511648298,0.6,0.3652485392162237,jd_001__cv_001,development,0,False,0.2690701919978331,0.8072105759934993
24,cv_033,jd_001,0.051294671443524,0.4391829756032526,0.6,0.3296739049964645,jd_001__cv_033,blind_v1,0,False,0.2672566351969995,0.8017699055909985
25,cv_019,jd_001,0.0,0.4817108510816078,0.6,0.3618058000853337,jd_001__cv_019,blind_v2,1,False,0.2648839102419217,0.7946517307257651
26,cv_021,jd_001,0.0,0.4461472815920665,0.6,0.3832317380965365,jd_001__cv_021,blind_v1,0,False,0.2641989777473742,0.7925969332421227
27,cv_012,jd_001,0.0,0.4694874625716491,0.6,0.3571969026147011,jd_001__cv_012,development,0,False,0.2610565632987401,0.7831696898962205
28,cv_026,jd_001,0.0,0.4353743996671937,0.6,0.3248790501985686,jd_001__cv_026,blind_v2,0,False,0.2445385949930093,0.733615784979028
29,cv_025,jd_001,0.0,0.4322860537715803,0.6,0.2890652201293912,jd_001__cv_025,development,0,False,0.2331767767931334,0.6995303303794003
30,cv_007,jd_001,0.0,0.4544295978315312,0.6,0.2638583185556301,jd_001__cv_007,development,0,False,0.2300434151329953,0.6901302453989859
31,cv_006,jd_001,0.0,0.4191769020685719,0.6,0.2815376028531439,jd_001__cv_006,development,0,False,0.2282966612696575,0.6848899838089728
32,cv_008,jd_001,0.0,0.4502536040611756,0.6,0.2448837135634168,jd_001__cv_008,blind_v2,0,False,0.2235158348812601,0.6705475046437805
33,cv_030,jd_001,0.0,0.4194669287016811,0.6,0.2538787577975196,jd_001__cv_030,blind_v2,0,False,0.2200570130795921,0.6601710392387764
34,cv_009,jd_001,0.0,0.3764832039368869,0.6,0.1504871364410215,jd_001__cv_009,blind_v1,0,False,0.1804427817196838,0.5413283451590515
35,cv_016,jd_001,0.0,0.3807473504506618,0.0,0.2646233643367122,jd_001__cv_016,blind_v2,0,False,0.155536479391146,0.4666094381734381
