N,relevant_count,recall_at_5,ndcg_at_5,recall_at_10,ndcg_at_10,recall_at_15,ndcg_at_15,spearman,mae,system,split,evaluation_type
18,5,0.8,0.8259562683091511,1.0,0.8411193755951394,1.0,0.8411193755951394,0.759758888846854,0.8202332802108789,mdms_equal_v1,development,DEVELOPMENT
6,1,1.0,0.9639404333166532,,,,,0.6761234037828132,0.804722764920978,mdms_equal_v1,blind_v1,BLIND
11,2,1.0,0.9197207891481876,1.0,0.8911429519683572,,,0.5032163665462848,0.7562903032099367,mdms_equal_v1,blind_v2,BLIND
17,3,1.0,0.9674679834891694,1.0,0.9394334025682809,1.0,0.9394334025682809,0.597677075982392,0.7733841132255983,mdms_equal_v1,blind_all,BLIND
35,8,0.5,0.8777069972374096,1.0,0.8461768333378828,1.0,0.8497370861332263,0.6870579019212848,0.7974779705323141,mdms_equal_v1,full_35,DESCRIPTIVE
18,5,1.0,0.8698687319194839,1.0,0.8793433720438693,1.0,0.8793433720438693,0.9021441564491928,0.7152424218541342,mdms_tuned_v1,development,DEVELOPMENT
6,1,1.0,1.0,,,,,0.8451542547285165,0.6495399937523747,mdms_tuned_v1,blind_v1,BLIND
11,2,1.0,0.9197207891481876,1.0,0.8911429519683572,,,0.5032163665462848,0.6773859959110461,mdms_tuned_v1,blind_v2,BLIND
17,3,1.0,0.9630988000371629,1.0,0.953175871178458,1.0,0.9451688740787516,0.617888378068753,0.667557995149162,mdms_tuned_v1,blind_all,BLIND
35,8,0.625,0.8698687319194839,1.0,0.890005130744814,1.0,0.8930320617315125,0.7720402346646237,0.6920814145974334,mdms_tuned_v1,full_35,DESCRIPTIVE
18,5,0.6,0.9629964747243056,0.6,0.9579053604819455,0.8,0.9214377299762365,0.46704033565687225,0.9688888888888889,rule_based_baseline,development,DEVELOPMENT
6,1,0.0,0.6309297535714575,,,,,,1.0066666666666666,rule_based_baseline,blind_v1,BLIND
11,2,1.0,0.8676182686276376,1.0,0.8530911766915386,,,0.5106882308569509,0.9290909090909092,rule_based_baseline,blind_v2,BLIND
17,3,0.6666666666666666,0.8772153153380493,0.6666666666666666,0.8459555111191484,0.6666666666666666,0.8335148830411879,0.4123930494211612,0.956470588235294,rule_based_baseline,blind_all,BLIND
35,8,0.5,0.7780851555766877,0.5,0.7800058752104514,0.625,0.77300882629324,0.45493707663134214,0.9628571428571427,rule_based_baseline,full_35,DESCRIPTIVE
