cv_id,gt_overall,skill_score,skill_coverage,experience_score,experience_coverage,education_score,education_coverage,semantic_score,semantic_coverage,mdms_equal_weight,mdms_0_to_3,rule_based_score,overall_coverage,absolute_error_mdms,absolute_error_rule,mdms_rank,rule_based_rank,gt_rank
cv_001,0,0.0,1.0,0.3,1.0,0.6,1.0,0.3652485392162237,1.0,0.3163121348040559,0.9489364044121678,0.42,1.0,0.9489364044121678,1.26,13,5,10
cv_012,0,0.0,1.0,0.3,1.0,0.6,1.0,0.35719690261470116,1.0,0.3142992256536753,0.9428976769610259,0.42,1.0,0.9428976769610259,1.26,14,6,11
cv_032,2,0.16469411150874794,1.0,0.3,1.0,1.0,1.0,0.4711499540539402,1.0,0.483961016390672,1.451883049172016,0.5,1.0,0.548116950827984,0.5,3,1,3
cv_014,0,0.05129467353158834,1.0,0.3,1.0,0.6,1.0,0.3838966288364497,1.0,0.3337978255920095,1.0013934767760284,0.42,1.0,1.0013934767760284,1.26,12,7,12
cv_004,1,0.11339943833924926,1.0,0.3,1.0,0.6,1.0,0.422575399908919,1.0,0.3589937095620421,1.0769811286861262,0.42,1.0,0.07698112868612617,0.26,8,8,6
cv_024,3,0.2124330489485423,1.0,0.3,1.0,1.0,1.0,0.6145311743519849,1.0,0.5317410558251318,1.5952231674753952,0.5,1.0,1.4047768325246048,1.5,2,2,1
cv_020,3,0.16469411150874794,1.0,0.3,1.0,0.6,1.0,0.5973777564225745,1.0,0.4155179669828306,1.2465539009484918,0.42,1.0,1.7534460990515082,1.74,6,9,2
cv_006,0,0.0,1.0,0.3,1.0,0.6,1.0,0.2815376028531439,1.0,0.295384400713286,0.8861532021398579,0.42,1.0,0.8861532021398579,1.26,16,10,13
cv_007,0,0.0,1.0,0.3,1.0,0.6,1.0,0.26385831855563013,1.0,0.29096457963890754,0.8728937389167226,0.42,1.0,0.8728937389167226,1.26,17,11,14
cv_018,2,0.16469411150874794,1.0,0.3,1.0,0.6,1.0,0.6100623617366132,1.0,0.41868911831134026,1.2560673549340207,0.42,1.0,0.7439326450659793,0.74,5,12,4
cv_005,0,0.11339943928528978,1.0,0.3,1.0,0.6,1.0,0.39153824870848225,1.0,0.351234421998443,1.053703265995329,0.42,1.0,1.053703265995329,1.26,9,13,15
cv_025,0,0.0,1.0,0.3,1.0,0.6,1.0,0.2890652201293912,1.0,0.2972663050323478,0.8917989150970433,0.42,1.0,0.8917989150970433,1.26,15,14,16
cv_002,0,0.05129467338184522,1.0,0.3,1.0,0.6,1.0,0.4349119094798333,1.0,0.34655164571541963,1.039654937146259,0.42,1.0,1.039654937146259,1.26,11,15,17
cv_029,2,0.21298314956495018,1.0,0.3,1.0,1.0,1.0,0.6301566060615205,1.0,0.5357849389066176,1.6073548167198528,0.5,1.0,0.3926451832801472,0.5,1,3,5
cv_013,1,0.16469411150874794,1.0,0.3,1.0,0.6,1.0,0.3991316884878058,1.0,0.3659564499991384,1.0978693499974153,0.42,1.0,0.09786934999741526,0.26,7,16,7
cv_003,1,0.11339944191090037,1.0,0.3,1.0,0.0,1.0,0.5617067148302183,1.0,0.24377653918527967,0.731329617555839,0.3,1.0,0.26867038244416097,0.10000000000000009,18,18,8
cv_010,1,0.11339944191090037,1.0,0.3,1.0,1.0,1.0,0.3317567739105191,1.0,0.4362890539553549,1.3088671618660648,0.5,1.0,0.3088671618660648,0.5,4,4,9
cv_023,0,0.16469411355197894,1.0,0.3,1.0,0.6,1.0,0.33585923266093604,1.0,0.35013833655322874,1.0504150096596863,0.42,1.0,1.0504150096596863,1.26,10,17,18
