component,weight_value,best_ndcg10,best_spearman,corresponding_weights,best_ndcg5,mae_0_to_3
skill,0.0,0.8611426338585058,0.8732221489674676,0.0/0.5/0.1/0.4,0.8698687319194839,0.9189675082465492
skill,0.1,0.8611426338585058,0.8732221489674676,0.1/0.4/0.1/0.4,0.8698687319194839,0.860097579860016
skill,0.2,0.8793433720438693,0.9021441564491928,0.2/0.3/0.1/0.4,0.8698687319194839,0.8012276514734827
skill,0.3,0.8793433720438693,0.9021441564491928,0.3/0.3/0.1/0.3,0.8698687319194839,0.7690788426870684
skill,0.4,0.8793433720438693,0.9021441564491928,0.4/0.2/0.1/0.3,0.8698687319194839,0.7152424218541343
skill,0.5,0.8634317377540522,0.9110432356743388,0.5/0.0/0.1/0.4,0.851826437108253,0.6828908281950326
skill,0.6,0.8611426338585058,0.8732221489674676,0.6/0.2/0.0/0.2,0.8698687319194839,0.714836529257385
skill,0.7,0.8574670263058242,0.8654354546454648,0.7/0.2/0.0/0.1,0.8195270855535455,0.7230303252532262
skill,0.8,0.8600710707188142,0.8587611452266052,0.8/0.1/0.0/0.1,0.8698687319194839,0.7148870368265676
skill,0.9,0.843441890713883,0.8531992207108888,0.9/0.0/0.0/0.1,0.851826437108253,0.706743748399909
skill,1.0,0.7864309985255398,0.7642971698740139,1.0/0.0/0.0/0.0,0.5917973664126421,0.7149375443957502
experience,0.0,0.8634317377540522,0.9110432356743388,0.4/0.0/0.1/0.5,0.851826437108253,0.6746970321991914
experience,0.1,0.8634317377540522,0.9110432356743388,0.4/0.1/0.1/0.4,0.851826437108253,0.6929577994291867
experience,0.2,0.8793433720438693,0.9021441564491928,0.4/0.2/0.1/0.3,0.8698687319194839,0.7152424218541343
experience,0.3,0.8793433720438693,0.9021441564491928,0.3/0.3/0.1/0.3,0.8698687319194839,0.7690788426870684
experience,0.4,0.862008287055506,0.8876831527083301,0.2/0.4/0.1/0.3,0.8698687319194839,0.8279487710736018
experience,0.5,0.8611426338585058,0.8732221489674676,0.0/0.5/0.1/0.4,0.8698687319194839,0.9189675082465492
experience,0.6,0.8611426338585058,0.8732221489674676,0.1/0.6/0.1/0.2,0.8698687319194839,0.913539819060254
experience,0.7,0.8593535250036998,0.8443001414857427,0.0/0.7/0.1/0.2,0.8698687319194839,0.9724097474467872
experience,0.8,0.8455351416866129,0.784231356716006,0.0/0.8/0.0/0.2,0.8138242452848412,0.9740476225063336
experience,0.9,0.8176333098416488,0.7775570472971464,0.1/0.9/0.0/0.0,0.7364191567020566,0.9686199333200382
experience,1.0,0.690669240365442,0.6396213193073808,0.0/1.0/0.0/0.0,0.6681964713107739,1.0274898617065715
education,0.0,0.8611426338585058,0.8732221489674676,0.6/0.2/0.0/0.2,0.8698687319194839,0.714836529257385
education,0.1,0.8793433720438693,0.9021441564491928,0.4/0.2/0.1/0.3,0.8698687319194839,0.7152424218541343
education,0.2,0.860776975702246,0.8676602244517513,0.0/0.1/0.2/0.7,0.851826437108253,0.8495699748260407
education,0.3,0.843441890713883,0.7519721945248512,0.0/0.3/0.3/0.4,0.851826437108253,0.9402585604552236
education,0.4,0.8259349581299807,0.759758888846854,0.3/0.2/0.4/0.1,0.7843762699362018,0.8634258355907105
education,0.5,0.8259349581299807,0.759758888846854,0.2/0.2/0.5/0.1,0.7843762699362018,0.9500839954775624
education,0.6,0.8259349581299807,0.759758888846854,0.2/0.1/0.6/0.1,0.7843762699362018,0.9952931357572437
education,0.7,0.8259349581299807,0.759758888846854,0.1/0.1/0.7/0.1,0.7843762699362018,1.1103825951121378
education,0.8,0.8239977417932889,0.730836881365129,0.0/0.1/0.8/0.1,0.7843762699362018,1.2254720544670317
education,0.9,0.8166465266879258,0.7252749568494127,0.0/0.0/0.9/0.1,0.683692977204325,1.270681194746713
education,1.0,0.6104703189203945,0.4670403356568722,0.0/0.0/1.0/0.0,0.5741043979319709,1.3444444444444443
semantic,0.0,0.8272670758424565,0.8298391377448803,0.4/0.6/0.0/0.0,0.7867608030679949,0.7953730881886865
semantic,0.1,0.8600710707188142,0.8587611452266052,0.8/0.1/0.0/0.1,0.8698687319194839,0.7148870368265676
semantic,0.2,0.8611426338585058,0.8732221489674676,0.6/0.2/0.0/0.2,0.8698687319194839,0.714836529257385
semantic,0.3,0.8793433720438693,0.9021441564491928,0.4/0.2/0.1/0.3,0.8698687319194839,0.7152424218541343
semantic,0.4,0.8793433720438693,0.9021441564491928,0.2/0.3/0.1/0.4,0.8698687319194839,0.8012276514734827
semantic,0.5,0.8634317377540522,0.9110432356743388,0.4/0.0/0.1/0.5,0.851826437108253,0.6746970321991914
semantic,0.6,0.862714192038938,0.8965822319334764,0.3/0.0/0.1/0.6,0.851826437108253,0.6890019626912952
semantic,0.7,0.860776975702246,0.8676602244517513,0.0/0.1/0.2/0.7,0.851826437108253,0.8495699748260407
semantic,0.8,0.8594052411877203,0.8531992207108888,0.0/0.0/0.2/0.8,0.851826437108253,0.8229313608473771
semantic,0.9,0.843441890713883,0.8387382169700262,0.0/0.0/0.1/0.9,0.851826437108253,0.7855200031755214
semantic,1.0,0.8397662831612014,0.7875685114254358,0.0/0.0/0.0/1.0,0.8014847907423146,0.7608041855129859
