w_skill,w_experience,w_education,w_semantic,recall@5,recall@10,recall@15,ndcg@5,ndcg@10,ndcg@15,spearman,mae_0_to_3,objective_rank,delta_skill,delta_experience,delta_education,delta_semantic,l1_distance
0.4,0.2,0.1,0.3,1.0,1.0,1.0,0.8698687319194839,0.8793433720438693,0.8793433720438693,0.9021441564491928,0.7152424218541343,1,0.0,0.0,0.0,0.0,0.0
0.4,0.3,0.1,0.2,1.0,1.0,1.0,0.851826437108253,0.8453791070505748,0.8615851651648341,0.8676602244517513,0.7426302587861733,51,0.0,0.09999999999999998,0.0,-0.09999999999999998,0.19999999999999996
0.5,0.2,0.1,0.2,1.0,1.0,1.0,0.851826437108253,0.8445134538535746,0.8612415343030756,0.8676602244517513,0.7155649970400322,64,0.09999999999999998,0.0,0.0,-0.09999999999999998,0.19999999999999996
0.5,0.2,0.0,0.3,0.8,1.0,1.0,0.8195270855535455,0.8583326795028244,0.8745387376170838,0.8654354546454648,0.7066427332615438,23,0.09999999999999998,0.0,-0.1,0.0,0.19999999999999998
0.4,0.3,0.0,0.3,0.8,1.0,1.0,0.8195270855535455,0.8583326795028244,0.8745387376170838,0.8654354546454648,0.7321446883263916,25,0.0,0.09999999999999998,-0.1,0.0,0.19999999999999998
0.5,0.1,0.1,0.3,1.0,1.0,1.0,0.851826437108253,0.8453791070505748,0.862107187500076,0.882121228192614,0.6992279126175324,48,0.09999999999999998,-0.1,0.0,0.0,0.19999999999999998
0.4,0.2,0.2,0.2,1.0,1.0,1.0,0.851826437108253,0.8453791070505748,0.8453791070505748,0.7953552057474387,0.758606999165113,55,0.0,0.0,0.1,-0.09999999999999998,0.19999999999999998
0.3,0.3,0.1,0.3,1.0,1.0,1.0,0.8698687319194839,0.8793433720438693,0.8793433720438693,0.9021441564491928,0.7690788426870684,2,-0.10000000000000003,0.09999999999999998,0.0,0.0,0.2
0.4,0.1,0.2,0.3,1.0,1.0,1.0,0.8404207565708445,0.8348667461386331,0.8498591314187602,0.8187152887134475,0.7307769378424726,118,0.0,-0.1,0.1,0.0,0.2
0.4,0.1,0.1,0.4,1.0,1.0,1.0,0.851826437108253,0.8634317377540522,0.8634317377540522,0.9110432356743388,0.6929577994291867,6,0.0,-0.1,0.0,0.10000000000000003,0.20000000000000004
0.3,0.2,0.2,0.3,1.0,1.0,1.0,0.851826437108253,0.8453791070505748,0.8603714923307019,0.8242772132291637,0.77581223218755,53,-0.10000000000000003,0.0,0.1,0.0,0.20000000000000004
0.4,0.2,0.0,0.4,0.8,1.0,1.0,0.8014847907423146,0.8417034994978932,0.8579095576121526,0.8598735301297485,0.7125812112637122,93,0.0,0.0,-0.1,0.10000000000000003,0.20000000000000004
0.3,0.2,0.1,0.4,1.0,1.0,1.0,0.851826437108253,0.8634317377540522,0.8634317377540522,0.9110432356743388,0.7423577230869494,8,-0.10000000000000003,0.0,0.0,0.10000000000000003,0.20000000000000007
0.6,0.2,0.0,0.2,1.0,1.0,1.0,0.8698687319194839,0.8611426338585058,0.8778707143080068,0.8732221489674676,0.714836529257385,12,0.19999999999999996,0.0,-0.1,-0.09999999999999998,0.3999999999999999
0.5,0.3,0.0,0.2,0.8,1.0,1.0,0.8195270855535455,0.8583326795028244,0.8745387376170838,0.8654354546454648,0.7229798176840435,24,0.09999999999999998,0.09999999999999998,-0.1,-0.09999999999999998,0.3999999999999999
0.6,0.1,0.0,0.3,1.0,1.0,1.0,0.851826437108253,0.8445134538535746,0.8612415343030756,0.8676602244517513,0.6984994448348851,61,0.19999999999999996,-0.1,-0.1,0.0,0.3999999999999999
0.6,0.2,0.1,0.1,1.0,1.0,1.0,0.851826437108253,0.8445134538535746,0.8607195119678338,0.8531992207108888,0.7237587930358733,68,0.19999999999999996,0.0,0.0,-0.19999999999999998,0.3999999999999999
0.5,0.3,0.1,0.1,1.0,1.0,1.0,0.851826437108253,0.8445134538535746,0.8607195119678338,0.8531992207108888,0.7351184403096708,69,0.09999999999999998,0.09999999999999998,0.0,-0.19999999999999998,0.3999999999999999
0.6,0.1,0.1,0.2,1.0,1.0,1.0,0.8404207565708445,0.8340010929416328,0.850729173391134,0.8620982999360349,0.7074217086133736,126,0.19999999999999996,-0.1,0.0,-0.09999999999999998,0.3999999999999999
0.6,0.0,0.1,0.3,1.0,1.0,1.0,0.8404207565708445,0.8340010929416328,0.850729173391134,0.8620982999360349,0.6910846241908738,124,0.19999999999999996,-0.2,0.0,0.0,0.39999999999999997
