region,component,count,mean,variance,std,min,max
top_10,skill,10,0.32999999999999996,0.0081,0.09,0.2,0.5
top_10,experience,10,0.14,0.0124,0.11135528725660043,0.0,0.3
top_10,education,10,0.1,0.0,0.0,0.1,0.1
top_10,semantic,10,0.43000000000000005,0.0081,0.09,0.3,0.6
within_0.01,skill,3,0.3,0.006666666666666668,0.08164965809277261,0.2,0.4
within_0.01,experience,3,0.26666666666666666,0.0022222222222222214,0.04714045207910316,0.2,0.3
within_0.01,education,3,0.10000000000000002,1.925929944387236e-34,1.3877787807814457e-17,0.1,0.1
within_0.01,semantic,3,0.3333333333333333,0.002222222222222224,0.04714045207910319,0.3,0.4
within_0.02,skill,22,0.23636363636363633,0.0459504132231405,0.21436047495548358,0.0,0.8
within_0.02,experience,22,0.26818181818181813,0.04489669421487603,0.21188840037830298,0.0,0.7
within_0.02,education,22,0.10000000000000003,0.0018181818181818186,0.04264014327112209,0.0,0.2
within_0.02,semantic,22,0.39545454545454545,0.026797520661157027,0.1636994827760828,0.1,0.8
